epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,10326,0.98248,0.39555,1.14658,0.97897,0.93996,0.97259,0.6537,1.26716,0.45243,1.24314,0.001387,0.001387,0.001387
89,10433.3,0.97735,0.39197,1.14021,0.98041,0.93919,0.97326,0.65397,1.26669,0.45157,1.2427,0.001288,0.001288,0.001288
90,10540.1,0.97451,0.39005,1.13824,0.98105,0.93996,0.97412,0.65498,1.26663,0.45028,1.24243,0.001189,0.001189,0.001189
91,10668.9,0.97376,0.38888,1.13858,0.98188,0.94047,0.97427,0.65541,1.26602,0.44959,1.2419,0.00109,0.00109,0.00109
92,10776.3,0.96984,0.38591,1.13897,0.98188,0.94021,0.97417,0.65612,1.26525,0.44896,1.24126,0.000991,0.000991,0.000991
93,10885.1,0.96369,0.38257,1.13287,0.9819,0.94156,0.97408,0.65768,1.26468,0.44834,1.24072,0.000892,0.000892,0.000892
94,10991.8,0.95717,0.38124,1.12974,0.98192,0.9424,0.97443,0.65822,1.26347,0.44824,1.23998,0.000793,0.000793,0.000793
95,11098.9,0.95466,0.37881,1.12784,0.98072,0.94371,0.97449,0.65915,1.2624,0.44732,1.23936,0.000694,0.000694,0.000694
96,11205.8,0.95303,0.37732,1.12488,0.98039,0.94371,0.97461,0.65993,1.26132,0.4466,1.23876,0.000595,0.000595,0.000595
97,11312.1,0.95016,0.37438,1.12312,0.98052,0.94444,0.97471,0.66027,1.26026,0.44635,1.23807,0.000496,0.000496,0.000496
98,11419.8,0.94971,0.37412,1.12412,0.98078,0.94465,0.97482,0.66024,1.25908,0.44584,1.2371,0.000397,0.000397,0.000397
99,11526.4,0.94545,0.37199,1.12075,0.981,0.94431,0.97482,0.66134,1.25787,0.44563,1.23646,0.000298,0.000298,0.000298
100,11634.2,0.94573,0.37154,1.11997,0.98196,0.9444,0.9751,0.66153,1.25629,0.44537,1.23565,0.000199,0.000199,0.000199
