epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,117.255,1.06535,0.89312,1.08181,0.60541,0.36731,0.32248,0.15563,1.67611,2.30594,1.58821,0.00160594,0.00160594,0.00160594
76,118.735,1.04399,0.90521,1.05582,0.44031,0.39263,0.34671,0.1656,1.62639,2.23153,1.58095,0.00160511,0.00160511,0.00160511
77,120.224,0.99033,0.85482,1.03844,0.49063,0.40443,0.36362,0.18601,1.64581,2.37086,1.67113,0.00160429,0.00160429,0.00160429
78,121.725,1.04647,0.85851,1.04637,0.52448,0.36963,0.34337,0.20222,1.6564,2.57604,1.71722,0.00160346,0.00160346,0.00160346
79,123.212,1.00671,0.85126,1.03755,0.40389,0.39187,0.31716,0.17124,1.7179,2.64062,1.66476,0.00160264,0.00160264,0.00160264
80,124.692,0.94975,0.81541,1.03008,0.44004,0.33839,0.29377,0.15903,1.72717,2.20606,1.64257,0.00160181,0.00160181,0.00160181
81,126.179,0.97251,0.85764,1.01955,0.43791,0.44279,0.33866,0.16304,1.68494,1.96709,1.59657,0.00160099,0.00160099,0.00160099
82,127.654,0.97255,0.81717,1.03616,0.45306,0.40639,0.37861,0.19607,1.66741,2.07507,1.58161,0.00160016,0.00160016,0.00160016
83,129.125,0.96471,0.80302,1.02078,0.51048,0.33672,0.3372,0.19229,1.80321,2.53007,1.62139,0.00159934,0.00159934,0.00159934
84,130.588,0.99162,0.84682,1.04832,0.51166,0.35883,0.34977,0.16416,1.84047,2.38969,1.67582,0.00159851,0.00159851,0.00159851
85,132.064,1.02141,0.8077,1.02607,0.46675,0.27262,0.27542,0.15514,1.69253,2.39196,1.63247,0.00159769,0.00159769,0.00159769
86,133.528,0.92352,0.77547,1.01428,0.35656,0.3218,0.26787,0.14289,1.66418,2.30444,1.60517,0.00159686,0.00159686,0.00159686
