epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2065.66,1.03665,0.47755,1.03699,0.98402,0.94305,0.97192,0.70323,1.05728,0.40116,1.04459,0.00964855,0.00964855,0.00964855
73,2093.69,1.03904,0.48036,1.0381,0.98742,0.9344,0.97301,0.70407,1.06443,0.40507,1.05153,0.0096436,0.0096436,0.0096436
74,2121.7,1.03206,0.47658,1.03516,0.98425,0.93759,0.9707,0.70676,1.05027,0.39996,1.04371,0.00963865,0.00963865,0.00963865
75,2149.57,1.02923,0.47175,1.03705,0.98219,0.94214,0.97322,0.70286,1.0551,0.39662,1.03997,0.0096337,0.0096337,0.0096337
76,2177.52,1.03339,0.47333,1.03674,0.98198,0.93895,0.97086,0.70114,1.05438,0.4,1.04423,0.00962875,0.00962875,0.00962875
77,2205.57,1.04223,0.48284,1.04278,0.97688,0.94806,0.97184,0.69988,1.05814,0.40211,1.04785,0.0096238,0.0096238,0.0096238
78,2236.49,1.03528,0.47184,1.04149,0.98236,0.94077,0.97044,0.70622,1.05143,0.39389,1.04129,0.00961885,0.00961885,0.00961885
79,2265.76,1.02892,0.47226,1.03643,0.98576,0.93166,0.96802,0.70229,1.04808,0.39573,1.03796,0.0096139,0.0096139,0.0096139
80,2294.88,1.03512,0.47612,1.03585,0.98396,0.93485,0.97033,0.70969,1.04657,0.39929,1.03862,0.00960895,0.00960895,0.00960895
81,2325.81,1.02844,0.47329,1.03664,0.98335,0.94148,0.97173,0.70479,1.05361,0.39765,1.04545,0.009604,0.009604,0.009604
82,2356.7,1.03354,0.4673,1.03951,0.98309,0.94032,0.97156,0.70565,1.05417,0.39437,1.04145,0.00959905,0.00959905,0.00959905
83,2387.98,1.02722,0.46838,1.03681,0.98242,0.93986,0.97377,0.71007,1.05235,0.39535,1.04407,0.0095941,0.0095941,0.0095941
84,2419.36,1.01978,0.46487,1.03009,0.97654,0.9481,0.97428,0.7087,1.04999,0.39428,1.04199,0.00958915,0.00958915,0.00958915
85,2450.65,1.02728,0.47069,1.04188,0.98039,0.94533,0.9727,0.70846,1.0518,0.38882,1.04587,0.0095842,0.0095842,0.0095842
86,2482.15,1.02213,0.46384,1.03268,0.98379,0.94031,0.97034,0.70464,1.04973,0.38594,1.04363,0.00957925,0.00957925,0.00957925
87,2513.54,1.02008,0.46468,1.03272,0.98293,0.94077,0.97231,0.70716,1.04761,0.39025,1.03944,0.0095743,0.0095743,0.0095743
88,2545.04,1.02176,0.46327,1.03665,0.97734,0.94326,0.97278,0.70918,1.04304,0.38788,1.03655,0.00956935,0.00956935,0.00956935
89,2576.46,1.02607,0.46409,1.03235,0.98283,0.93875,0.97412,0.70865,1.04304,0.38741,1.03767,0.0095644,0.0095644,0.0095644
90,2607.82,1.01794,0.46538,1.0331,0.98329,0.93816,0.97289,0.70885,1.04834,0.38772,1.04223,0.00955945,0.00955945,0.00955945
91,2639.18,1.00968,0.45832,1.02353,0.9871,0.93713,0.97394,0.71037,1.04699,0.38378,1.03788,0.0095545,0.0095545,0.0095545
92,2670.33,1.01645,0.46549,1.02637,0.98937,0.9332,0.97272,0.70903,1.04477,0.38575,1.03431,0.00954955,0.00954955,0.00954955
93,2701.84,1.01924,0.4617,1.02774,0.97961,0.93941,0.97386,0.71215,1.05067,0.38817,1.03619,0.0095446,0.0095446,0.0095446
94,2733.23,1.01063,0.45934,1.02841,0.98289,0.94197,0.97376,0.71157,1.04764,0.38599,1.03604,0.00953965,0.00953965,0.00953965
95,2764.64,1.01428,0.46238,1.02806,0.98317,0.9426,0.9754,0.71276,1.0449,0.38388,1.03995,0.0095347,0.0095347,0.0095347
96,2795.96,1.01403,0.46258,1.02941,0.98243,0.94273,0.97421,0.7116,1.04303,0.38042,1.03813,0.00952975,0.00952975,0.00952975
97,2827.27,1.0064,0.45896,1.02571,0.98461,0.94077,0.9752,0.71231,1.04256,0.38233,1.04047,0.0095248,0.0095248,0.0095248
98,2858.71,1.00947,0.4601,1.02523,0.99038,0.93817,0.97557,0.71133,1.04858,0.38141,1.04003,0.00951985,0.00951985,0.00951985
99,2890.17,1.00899,0.4602,1.03032,0.98755,0.94396,0.97488,0.71311,1.04468,0.37975,1.03785,0.0095149,0.0095149,0.0095149
100,2921.63,1.01158,0.45491,1.03015,0.98439,0.94214,0.97404,0.70957,1.04064,0.37811,1.0376,0.00950995,0.00950995,0.00950995
101,2953.12,1.01611,0.46179,1.02902,0.98527,0.94169,0.97498,0.70935,1.04177,0.37834,1.03936,0.009505,0.009505,0.009505
102,2983.32,1.00974,0.45707,1.02824,0.9863,0.9385,0.97565,0.71091,1.04614,0.37727,1.04148,0.00950005,0.00950005,0.00950005
103,3013.61,1.00993,0.45747,1.02592,0.98477,0.94214,0.97591,0.71095,1.04598,0.37535,1.0365,0.0094951,0.0094951,0.0094951
104,3043.61,1.01269,0.45728,1.02118,0.98278,0.9426,0.97547,0.71341,1.04456,0.376,1.03322,0.00949015,0.00949015,0.00949015
105,3073.82,1.00449,0.45667,1.02223,0.98819,0.93895,0.97537,0.71571,1.04224,0.37357,1.0317,0.0094852,0.0094852,0.0094852
106,3103.95,0.99907,0.45352,1.01772,0.98571,0.9431,0.9762,0.71442,1.04129,0.37296,1.02939,0.00948025,0.00948025,0.00948025
107,3136.15,1.00448,0.44939,1.01708,0.98112,0.94689,0.97499,0.71688,1.04381,0.37434,1.02872,0.0094753,0.0094753,0.0094753
108,3165.64,1.00096,0.45431,1.02255,0.98343,0.94638,0.97475,0.71563,1.04502,0.37727,1.0319,0.00947035,0.00947035,0.00947035
109,3194.79,1.00545,0.45132,1.0229,0.97893,0.94624,0.97502,0.71467,1.04191,0.37547,1.03178,0.0094654,0.0094654,0.0094654
110,3224.07,1.00836,0.45349,1.02856,0.9819,0.94624,0.97679,0.71574,1.04126,0.37341,1.03133,0.00946045,0.00946045,0.00946045
111,3253.47,1.00059,0.4524,1.02082,0.98261,0.94487,0.97572,0.71479,1.04199,0.37316,1.03202,0.0094555,0.0094555,0.0094555
112,3282.72,1.00482,0.45348,1.01984,0.98623,0.94077,0.97513,0.71362,1.04512,0.37323,1.03377,0.00945055,0.00945055,0.00945055
113,3311.89,1.00177,0.45107,1.02292,0.9829,0.94288,0.9745,0.71419,1.04496,0.37208,1.0351,0.0094456,0.0094456,0.0094456
114,3341.33,0.99151,0.45446,1.02149,0.98664,0.94178,0.97525,0.71531,1.04543,0.37244,1.03606,0.00944065,0.00944065,0.00944065
115,3370.7,0.9859,0.44671,1.01562,0.9857,0.9421,0.97531,0.71414,1.04426,0.37328,1.03507,0.0094357,0.0094357,0.0094357
116,3399.92,1.00635,0.45322,1.02334,0.98247,0.94471,0.97426,0.7145,1.04577,0.37464,1.03618,0.00943075,0.00943075,0.00943075
